Draw,Date,Winning Number 1,2,3,4,5,6,Additional Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
4099,2025-07-28,2,14,16,21,36,47,1,,2,47,2,4,1,2,1,1,1,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00
4098,2025-07-28,9,11,24,32,39,49,26,,9,49,4,2,1,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4097,2025-07-21,2,5,10,12,14,37,17,,5,1,2,4,3,2,0,1,0,0.0,0.0,4.0,65865.0,165.0,1098.0,452.0,219.0,8308.0,50.0,10548.0,25.0,133970.0,10.0
4096,2025-07-17,7,8,17,29,32,42,1,"8,29",3,3,3,3,2,1,1,1,1,0.0,0.0,12.0,1186233.0,609.0,1658.0,1815.0,304.0,34527.0,50.0,49068.0,25.0,614079.0,10.0
4095,2025-07-14,2,8,19,29,38,41,20,,3,3,3,3,2,1,1,1,1,0.0,0.0,9.0,67336.0,282.0,1478.0,681.0,334.0,14575.0,50.0,20365.0,25.0,255601.0,10.0
4094,2025-07-10,12,21,26,27,35,44,10,,2,4,3,3,0,1,3,1,1,0.0,0.0,1.0,354259.0,151.0,1613.0,325.0,409.0,6941.0,50.0,10924.0,25.0,133227.0,10.0
4093,2025-07-07,10,15,17,33,36,45,34,"15,17",3,3,4,2,1,2,0,2,1,0.0,0.0,2.0,129583.0,75.0,2376.0,231.0,421.0,4717.0,50.0,6140.0,25.0,90346.0,10.0
4092,2025-07-03,6,15,16,17,25,34,31,34,4,2,3,3,1,3,1,1,0,1.0,2894419.0,2.0,175398.0,155.0,1556.0,399.0,330.0,8257.0,50.0,10198.0,25.0,150923.0,10.0
4091,2025-06-30,11,27,31,33,34,36,13,,1,5,4,2,0,1,1,4,0,0.0,0.0,2.0,129279.0,98.0,1814.0,334.0,291.0,5439.0,50.0,8592.0,25.0,96224.0,10.0
4090,2025-06-26,10,26,28,35,37,46,20,37,1,5,2,4,1,0,2,2,1,1.0,2803451.0,4.0,85639.0,124.0,1900.0,314.0,410.0,7271.0,50.0,9136.0,25.0,125256.0,10.0
4089,2025-06-23,2,15,29,37,45,49,24,"37,45",2,4,5,1,1,1,1,1,2,0.0,0.0,1.0,247645.0,53.0,3213.0,202.0,460.0,3834.0,50.0,5958.0,25.0,78528.0,10.0
4088,2025-06-19,1,10,37,40,45,47,19,,2,4,4,2,2,0,0,2,2,1.0,12323051.0,13.0,108637.0,522.0,1861.0,1492.0,355.0,29024.0,50.0,43140.0,25.0,520619.0,10.0
4087,2025-06-16,5,18,27,32,48,49,21,49,2,4,3,3,1,1,1,1,2,0.0,0.0,6.0,94294.0,219.0,1777.0,505.0,421.0,11228.0,50.0,15908.0,25.0,206780.0,10.0
4086,2025-06-12,3,7,38,41,44,49,20,7,2,4,4,2,2,0,0,1,3,0.0,0.0,3.0,114469.0,112.0,2108.0,318.0,405.0,5993.0,50.0,8416.0,25.0,117333.0,10.0
4085,2025-06-09,7,10,11,21,32,48,27,,4,2,3,3,2,1,1,1,1,0.0,0.0,4.0,68222.0,103.0,1822.0,391.0,262.0,6275.0,50.0,9131.0,25.0,116903.0,10.0
4084,2025-06-05,2,5,25,26,29,30,42,,2,4,3,3,2,0,4,0,0,1.0,1262313.0,1.0,265750.0,221.0,827.0,249.0,401.0,9315.0,50.0,6970.0,25.0,133101.0,10.0
4083,2025-06-02,10,19,21,22,28,31,34,19,4,2,3,3,1,1,3,1,0,1.0,1295741.0,3.0,90930.0,149.0,1259.0,245.0,418.0,6736.0,50.0,6594.0,25.0,122900.0,10.0
4082,2025-05-29,1,5,7,11,19,47,44,5,5,1,6,0,3,2,0,0,1,3.0,1970103.0,8.0,74730.0,457.0,900.0,685.0,328.0,21654.0,50.0,18257.0,25.0,320136.0,10.0
4081,2025-05-26,5,9,15,28,46,48,8,48,3,3,3,3,2,1,1,0,2,0.0,0.0,4.0,161611.0,179.0,1484.0,621.0,234.0,9075.0,50.0,17993.0,25.0,161297.0,10.0
4080,2025-05-22,3,10,32,34,44,48,29,,2,4,1,5,2,0,0,2,2,0.0,0.0,0.0,0.0,96.0,1863.0,170.0,574.0,4360.0,50.0,5909.0,25.0,85351.0,10.0
4079,2025-05-19,2,15,17,18,39,45,26,17,4,2,4,2,1,3,0,1,1,1.0,1279986.0,2.0,134736.0,94.0,1971.0,247.0,410.0,4805.0,50.0,7014.0,25.0,95577.0,10.0
4078,2025-05-15,9,16,17,20,34,38,18,"16,20",4,2,2,4,1,3,0,2,0,1.0,6029737.0,3.0,202727.0,186.0,2248.0,550.0,415.0,12073.0,50.0,18150.0,25.0,228643.0,10.0
4077,2025-05-12,6,16,20,23,40,48,45,,4,2,1,5,1,2,1,1,1,0.0,0.0,6.0,65997.0,138.0,1973.0,371.0,401.0,7856.0,50.0,9907.0,25.0,151903.0,10.0
4076,2025-05-08,9,13,17,39,46,47,22,,3,3,5,1,1,2,0,1,2,0.0,0.0,2.0,132631.0,108.0,1689.0,210.0,474.0,4939.0,50.0,6836.0,25.0,94717.0,10.0
